Technology;Country;Global warming;Stratospheric ozone depletion;Ionizing radiation;Ozone formation, Human health;Fine particulate matter formation;Ozone formation, Terrestrial ecosystems;Terrestrial acidification;Freshwater eutrophication;Marine eutrophication;Terrestrial ecotoxicity;Freshwater ecotoxicity;Marine ecotoxicity;Human carcinogenic toxicity;Human non-carcinogenic toxicity;Land use;Mineral resource scarcity;Fossil resource scarcity;Water consumption
peat;SE;1193.618123;0.000117505;2.615654877;1.374480698;0.222842756;1.376274828;2.703971592;0.025226408;0.000856851;182.5732439;5.564677361;1.984382583;0.035154089;3.473197405;1.562332546;0.085323962;277.2084125;2.424696547
windon;SE;30.11707111;1.11E-05;1.816003572;0.08320221;0.028938823;0.08614301;0.198363705;0.045164051;0.003060708;391.5703776;43.33426885;10.61658562;0.020131016;3.111028691;1.2037127;0.803534007;6.450459903;0.331606802
gas;RU;503.0579291;0.000169812;0.601026401;0.338102352;0.013489255;0.361832501;0.437126705;0.004470127;0.000304788;16.66242898;0.415879418;0.139509955;0.006257991;0.270803153;0.195642176;0.091440707;167.2150342;0.656719212
coal_chp;RU;379.0214433;4.70E-05;2.363083071;0.864087555;0.264304319;0.866770438;1.686757271;0.213073736;0.012882963;66.65538527;6.6128645;2.273697901;0.063837945;1.183268648;2.47069678;0.039250102;73.25318126;13.29343599
gas_chp;RU;453.659123;-0.000136827;-225.5057467;0.096392083;-0.275813856;0.121467058;-0.108428975;-0.095689979;-0.00966731;-46.26027269;-3.148687159;-1.00981339;-0.027223463;-1.123864402;-13.40293839;-0.235243165;167.7983617;-1.555773205
oil_chp;RU;1182.907323;0.000586165;7.979850473;3.640674547;0.190249929;3.679936481;8.382554863;0.022048782;0.00221621;1944.185286;2.114650462;1.714225599;0.696056775;5.165155998;1.853245573;0.231289101;370.0666999;87.94729447
oil_chp;EE;891.6083328;0.000444278;8.265436134;2.748609224;0.131495364;2.778289157;6.349205555;0.017615636;0.001774698;1474.013128;1.611357961;1.301644979;0.527330959;3.904414592;1.549746034;0.17885765;279.599147;56.42042823
biomass;NO;58.60253063;0.000219915;1.252107909;0.110591358;0.014688492;0.112150605;1.52855312;0.068370669;0.014294864;23.48098482;6.188133485;1.810839186;0.01808709;0.835709284;7.515934784;0.077314637;5.595853933;0.598884081
oil_chp;SE;853.2838695;0.000489573;8.110329591;1.815754707;0.109701035;1.843727957;3.083921853;0.017205692;0.001725309;1000.722451;1.56603402;1.061237975;0.21804681;3.351669509;1.520370587;0.175526813;274.35647;64.6910382
gas_chp;SE;112.673042;4.75871E-05;0.125056682;0.105311721;0.003171184;0.106883618;0.046253525;0.001207333;7.38538E-05;9.45485042;0.169945475;0.134228328;0.001392913;0.081022994;0.103902042;0.027834576;47.5940109;0.184270228
